City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Decription
152,152,Winslow,US,2022-03-12 17:37:30,35.0242,-110.6974,35.78,69,0,5.75,clear sky
153,153,Egvekinot,RU,2022-03-12 17:37:30,66.3167,-179.1667,8.8,56,0,9.64,clear sky
154,154,Deputatskiy,RU,2022-03-12 17:37:30,69.3,139.9,-19.7,100,73,0.81,broken clouds
155,155,Srivardhan,IN,2022-03-12 17:37:31,18.0333,73.0167,80.29,54,19,6.35,few clouds
156,156,Okakarara,,2022-03-12 17:37:31,-20.5833,17.4333,78.06,39,51,5.61,broken clouds
157,157,Vardo,NO,2022-03-12 17:37:31,70.3705,31.1107,32.63,72,92,3.11,overcast clouds
158,158,Sangar,RU,2022-03-12 17:37:32,63.9242,127.4739,-20.49,100,74,4.38,broken clouds
159,159,Rupert,US,2022-03-12 17:33:12,42.6191,-113.6772,44.55,39,0,18.41,clear sky
160,160,Alofi,NU,2022-03-12 17:37:32,-19.0595,-169.9187,75.09,94,99,2.3,overcast clouds
161,161,Vila Franca Do Campo,PT,2022-03-12 17:37:32,37.7167,-25.4333,63.19,62,99,5.84,overcast clouds
162,162,Seymchan,RU,2022-03-12 17:37:33,62.8833,152.4333,-3.28,96,98,4.0,overcast clouds
163,163,Rio Grande,BR,2022-03-12 17:35:35,-32.035,-52.0986,78.91,53,9,11.54,clear sky
164,164,Lata,PT,2022-03-12 17:37:33,40.1629,-8.3327,54.07,97,100,6.4,light rain
165,165,Burns Lake,CA,2022-03-12 17:37:34,54.2331,-125.7533,27.82,79,69,3.53,broken clouds
166,166,Coihaique,CL,2022-03-12 17:33:06,-45.5752,-72.0662,65.01,52,20,3.44,few clouds
167,167,Banda Aceh,ID,2022-03-12 17:37:34,5.5577,95.3222,79.65,83,99,5.64,overcast clouds
168,168,Takoradi,GH,2022-03-12 17:37:34,4.8845,-1.7554,82.72,75,78,10.51,broken clouds
169,169,Tuy Hoa,VN,2022-03-12 17:33:54,13.0833,109.3,70.59,90,32,3.87,scattered clouds
170,170,Gimli,CA,2022-03-12 17:37:35,50.6336,-96.9907,1.42,66,100,18.41,overcast clouds
171,171,Husavik,IS,2022-03-12 17:37:35,66.0449,-17.3389,33.62,69,12,16.42,few clouds
172,172,Batagay-Alyta,RU,2022-03-12 17:37:35,67.8006,130.4114,-12.19,89,100,4.43,overcast clouds
173,173,Kampong Cham,KH,2022-03-12 17:37:36,11.9934,105.4635,79.68,48,100,5.44,overcast clouds
174,174,Berlevag,NO,2022-03-12 17:37:36,70.8578,29.0864,31.26,84,100,4.83,overcast clouds
175,175,Chuy,UY,2022-03-12 17:37:37,-33.6971,-53.4616,70.63,47,7,10.22,clear sky
176,176,Aginskoye,RU,2022-03-12 17:37:37,51.1,114.53,-1.5,97,75,3.85,broken clouds
177,177,Lincoln,US,2022-03-12 17:37:37,40.8,-96.667,31.01,47,0,16.11,clear sky
178,178,Udachnyy,RU,2022-03-12 17:37:38,66.4167,112.4,-27.45,100,92,1.36,overcast clouds
179,179,Krasnoarmeyskoye,RU,2022-03-12 17:37:38,52.7182,50.0322,-3.26,100,38,4.18,scattered clouds
180,180,Zhanaozen,KZ,2022-03-12 17:37:38,43.3,52.8,33.67,76,99,16.8,overcast clouds
181,181,Norman Wells,CA,2022-03-12 17:37:39,65.282,-126.8329,-7.56,71,75,14.97,broken clouds
182,182,Awbari,LY,2022-03-12 17:37:39,26.5921,12.7805,61.48,19,1,8.5,clear sky
183,183,Sao Miguel Do Araguaia,BR,2022-03-12 17:37:39,-13.275,-50.1628,82.92,73,100,4.61,light rain
184,184,Mahebourg,MU,2022-03-12 17:38:40,-20.4081,57.7,79.25,94,40,8.05,scattered clouds
185,185,Mar Del Plata,AR,2022-03-12 17:38:40,-38.0023,-57.5575,66.22,71,20,10.36,few clouds
186,186,Sao Joao Da Barra,BR,2022-03-12 17:38:41,-21.6403,-41.0511,91.49,74,0,14.47,clear sky
187,187,Kapuskasing,CA,2022-03-12 17:38:41,49.4169,-82.4331,6.89,66,75,16.11,broken clouds
188,188,Kattivakkam,IN,2022-03-12 17:38:41,13.2167,80.3167,81.07,81,9,6.29,clear sky
189,189,Banepa,NP,2022-03-12 17:38:42,27.6298,85.5214,59.32,77,20,3.44,few clouds
