City_ID,City,Country,Max Temp,Decription,Lat,Lng,Hotel Name
184,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
188,Kattivakkam,IN,81.07,clear sky,13.2167,80.3167,Euronova Freezer
190,Luanda,AO,82.4,few clouds,-8.8368,13.2343,EPIC SANA Luanda
193,Ilula,TZ,72.14,broken clouds,-7.6766,36.0366,FM Lodge
194,Fare,PF,81.3,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
197,Grand Gaube,MU,79.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
199,Male,MV,84.15,few clouds,4.1748,73.5089,Hotel Octave Maldives
203,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
210,Bandarbeyla,SO,77.54,broken clouds,9.4942,50.8122,JABIR HOTEL
211,Tibati,CM,88.47,broken clouds,6.4667,12.6333,Tibati Hotel
215,Celestun,MX,76.57,scattered clouds,20.8667,-90.4,Posada Lilia
217,Ewa Beach,US,76.59,clear sky,21.3156,-158.0072,Base Lodging
218,Yulara,AU,73.24,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
220,Namatanai,PG,78.49,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
221,Rayong,TH,85.8,broken clouds,12.8333,101.4333,Suan Palm Garden View Hotel
222,Ambulu,ID,76.33,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
225,Kasongo-Lunda,CD,71.53,heavy intensity rain,-6.4667,16.8167,
227,Bengkulu,ID,76.39,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
233,Nagarote,NI,89.28,clear sky,12.2659,-86.5647,Hospedaje Nagarote
234,Soyo,AO,81.14,overcast clouds,-6.1349,12.3689,Hotel Mpampa
235,Kui Buri,TH,77.95,overcast clouds,12.0828,99.8543,Rista House & Resort
238,Namibe,AO,73.44,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
239,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
241,Tomatlan,MX,84.27,clear sky,19.9333,-105.25,El Salvial
242,East London,ZA,83.34,clear sky,-33.0153,27.9116,Tu Casa
244,Majene,ID,78.55,moderate rain,-3.5403,118.9707,Kost Putri RABBANI
