City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
27,Wajima,JP,2022-03-06 18:54:50,37.4,136.9,38.52,65,100,16.84
28,Barrow,US,2022-03-06 18:54:51,71.2906,-156.7887,-7.64,97,89,6.15
29,Kungurtug,RU,2022-03-06 18:54:51,50.5994,97.5228,17.01,90,100,1.54
30,Narrabri,AU,2022-03-06 18:54:52,-30.3167,149.7833,62.69,88,75,10.36
31,Adrar,MR,2022-03-06 18:54:52,20.5022,-10.0711,72.21,12,0,11.14
32,Busselton,AU,2022-03-06 18:54:52,-33.65,115.3333,66.04,82,3,13.98
33,Kununurra,AU,2022-03-06 18:54:53,-15.7667,128.7333,76.98,94,100,0.0
34,Hobyo,SO,2022-03-06 18:54:53,5.3505,48.5268,78.71,69,69,16.78
35,Mackay,AU,2022-03-06 18:54:53,-21.15,149.2,82.38,83,7,13.8
36,Dudinka,RU,2022-03-06 18:54:54,69.4058,86.1778,-38.2,100,43,3.09
37,Great Falls,US,2022-03-06 18:53:02,47.5002,-111.3008,25.66,75,100,11.5
38,Ribeira Grande,PT,2022-03-06 18:54:54,38.5167,-28.7,63.0,88,75,20.71
39,Huarmey,PE,2022-03-06 18:54:55,-10.0681,-78.1522,75.83,74,67,8.41
40,Shimoda,JP,2022-03-06 18:54:55,34.6667,138.95,37.11,52,41,6.22
41,Cape Town,ZA,2022-03-06 18:50:06,-33.9258,18.4232,72.1,81,75,17.27
42,Port Elizabeth,ZA,2022-03-06 18:54:56,-33.918,25.5701,78.1,83,0,2.3
43,Saint Anthony,US,2022-03-06 18:54:56,45.0205,-93.218,32.25,84,100,9.22
44,Usinsk,RU,2022-03-06 18:54:57,65.9939,57.5281,-24.74,96,19,9.4
45,Wenling,CN,2022-03-06 18:54:57,28.3669,121.36,45.91,92,100,8.41
46,Bonney Lake,US,2022-03-06 18:54:57,47.1771,-122.1865,47.37,79,0,1.99
47,Luanda,AO,2022-03-06 18:54:58,-8.8368,13.2343,82.4,78,75,10.36
48,Atuona,PF,2022-03-06 18:54:58,-9.8,-139.0333,78.17,74,98,10.47
49,Tasiilaq,GL,2022-03-06 18:55:59,65.6145,-37.6368,22.8,92,100,11.52
50,Lompoc,US,2022-03-06 18:55:59,34.6391,-120.4579,64.13,52,0,18.01
51,Riyadh,SA,2022-03-06 18:56:00,24.6877,46.7219,75.34,26,81,14.85
52,Kaitangata,NZ,2022-03-06 18:56:00,-46.2817,169.8464,49.05,85,100,4.72
53,Laguna,US,2022-03-06 18:56:00,38.421,-121.4238,60.06,61,0,3.44
54,Chuy,UY,2022-03-06 18:56:01,-33.6971,-53.4616,76.08,74,100,7.16
55,Salalah,OM,2022-03-06 18:55:45,17.0151,54.0924,72.7,58,9,1.01
56,Vardo,NO,2022-03-06 18:56:02,70.3705,31.1107,24.78,68,75,11.5
57,Kapaa,US,2022-03-06 18:56:02,22.0752,-159.319,73.38,59,24,1.01
58,New Norfolk,AU,2022-03-06 18:56:03,-42.7826,147.0587,49.71,62,71,2.44
59,Tuktoyaktuk,CA,2022-03-06 18:56:03,69.4541,-133.0374,1.4,85,40,12.66
60,Victoria,HK,2022-03-06 18:53:55,22.2855,114.1577,70.95,86,100,15.01
61,Carnarvon,AU,2022-03-06 18:56:04,-24.8667,113.6333,77.07,69,0,9.22
62,Kavieng,PG,2022-03-06 18:56:04,-2.5744,150.7967,78.71,86,100,7.61
63,Albany,US,2022-03-06 18:53:04,42.6001,-73.9662,63.18,62,70,3.0
64,Brae,GB,2022-03-06 18:56:05,60.3964,-1.353,42.71,72,100,18.54
65,Kuah,MY,2022-03-06 18:56:05,6.3265,99.8432,78.78,94,20,3.44
66,Antofagasta,CL,2022-03-06 18:54:14,-23.65,-70.4,75.22,63,20,9.71
